Col	Row	Oligo
1	1	Oligo_1
1	2	Oligo_3
1	3	Oligo_5
1	4	Oligo_7
1	5	Oligo_9
1	6	Oligo_11
1	7	Oligo_193
1	8	Oligo_195
1	9	Oligo_197
1	10	Oligo_199
1	11	Oligo_201
1	12	Oligo_203
1	13	Oligo_13
1	14	Oligo_15
1	15	Oligo_17
1	16	Oligo_19
1	17	Oligo_21
1	18	Oligo_23
1	19	Oligo_205
1	20	Oligo_207
1	21	Oligo_209
1	22	Oligo_211
1	23	Oligo_213
1	24	Oligo_215
1	25	Oligo_25
1	26	Oligo_27
1	27	Oligo_29
1	28	Oligo_31
1	29	Oligo_33
1	30	Oligo_35
1	31	Oligo_217
1	32	Oligo_219
1	33	Oligo_221
1	34	Oligo_223
1	35	Oligo_225
1	36	Oligo_227
1	37	Oligo_37
1	38	Oligo_39
1	39	Oligo_41
1	40	Oligo_43
1	41	Oligo_45
1	42	Oligo_47
1	43	Oligo_229
1	44	Oligo_231
1	45	Oligo_233
1	46	Oligo_235
1	47	Oligo_237
1	48	Oligo_239
1	49	Oligo_49
1	50	Oligo_51
1	51	Oligo_53
1	52	Oligo_55
1	53	Oligo_57
1	54	Oligo_59
1	55	Oligo_241
1	56	Oligo_243
2	1	Oligo_245
2	2	Oligo_247
2	3	Oligo_249
2	4	Oligo_251
2	5	Oligo_61
2	6	Oligo_63
2	7	Oligo_65
2	8	Oligo_67
2	9	Oligo_69
2	10	Oligo_71
2	11	Oligo_253
2	12	Oligo_255
2	13	Oligo_257
2	14	Oligo_259
2	15	Oligo_261
2	16	Oligo_263
2	17	Oligo_73
2	18	Oligo_75
2	19	Oligo_77
2	20	Oligo_79
2	21	Oligo_81
2	22	Oligo_83
2	23	Oligo_265
2	24	Oligo_267
2	25	Oligo_269
2	26	Oligo_271
2	27	Oligo_273
2	28	Oligo_275
2	29	Oligo_85
2	30	Oligo_87
2	31	Oligo_89
2	32	Oligo_91
2	33	Oligo_93
2	34	Oligo_95
2	35	Oligo_277
2	36	Oligo_279
2	37	Oligo_281
2	38	Oligo_283
2	39	Oligo_285
2	40	Oligo_287
2	41	Oligo_385
2	42	Oligo_387
2	43	Oligo_389
2	44	Oligo_391
2	45	Oligo_393
2	46	Oligo_395
2	47	Oligo_577
2	48	Oligo_579
2	49	Oligo_581
2	50	Oligo_583
2	51	Oligo_585
2	52	Oligo_587
2	53	Oligo_397
2	54	Oligo_399
2	55	Oligo_401
2	56	Oligo_403
3	1	Oligo_405
3	2	Oligo_407
3	3	Oligo_589
3	4	Oligo_591
3	5	Oligo_593
3	6	Oligo_595
3	7	Oligo_597
3	8	Oligo_599
3	9	Oligo_409
3	10	Oligo_411
3	11	Oligo_413
3	12	Oligo_415
3	13	Oligo_417
3	14	Oligo_419
3	15	Oligo_601
3	16	Oligo_603
3	17	Oligo_605
3	18	Oligo_607
3	19	Oligo_609
3	20	Oligo_611
3	21	Oligo_421
3	22	Oligo_423
3	23	Oligo_425
3	24	Oligo_427
3	25	Oligo_429
3	26	Oligo_431
3	27	Oligo_613
3	28	Oligo_615
3	29	Oligo_617
3	30	Oligo_619
3	31	Oligo_621
3	32	Oligo_623
3	33	Oligo_433
3	34	Oligo_435
3	35	Oligo_437
3	36	Oligo_439
3	37	Oligo_441
3	38	Oligo_443
3	39	Oligo_625
3	40	Oligo_627
3	41	Oligo_629
3	42	Oligo_631
3	43	Oligo_633
3	44	Oligo_635
3	45	Oligo_445
3	46	Oligo_447
3	47	Oligo_449
3	48	Oligo_451
3	49	Oligo_453
3	50	Oligo_455
3	51	Oligo_637
3	52	Oligo_639
3	53	Oligo_641
3	54	Oligo_643
3	55	Oligo_645
3	56	Oligo_647
4	1	Oligo_457
4	2	Oligo_459
4	3	Oligo_461
4	4	Oligo_463
4	5	Oligo_465
4	6	Oligo_467
4	7	Oligo_649
4	8	Oligo_651
4	9	Oligo_653
4	10	Oligo_655
4	11	Oligo_657
4	12	Oligo_659
4	13	Oligo_469
4	14	Oligo_471
4	15	Oligo_473
4	16	Oligo_475
4	17	Oligo_477
4	18	Oligo_479
4	19	Oligo_661
4	20	Oligo_663
4	21	Oligo_665
4	22	Oligo_667
4	23	Oligo_669
4	24	Oligo_671
4	25	Oligo_1
4	26	Oligo_3
4	27	Oligo_5
4	28	Oligo_7
4	29	Oligo_9
4	30	Oligo_11
4	31	Oligo_193
4	32	Oligo_195
4	33	Oligo_197
4	34	Oligo_199
4	35	Oligo_201
4	36	Oligo_203
4	37	Oligo_13
4	38	Oligo_15
4	39	Oligo_17
4	40	Oligo_19
4	41	Oligo_21
4	42	Oligo_23
4	43	Oligo_205
4	44	Oligo_207
4	45	Oligo_209
4	46	Oligo_211
4	47	Oligo_213
4	48	Oligo_215
4	49	Oligo_25
4	50	Oligo_27
4	51	Oligo_29
4	52	Oligo_31
4	53	Oligo_33
4	54	Oligo_35
4	55	Oligo_217
4	56	Oligo_219
5	1	Oligo_221
5	2	Oligo_223
5	3	Oligo_225
5	4	Oligo_227
5	5	Oligo_37
5	6	Oligo_39
5	7	Oligo_41
5	8	Oligo_43
5	9	Oligo_45
5	10	Oligo_47
5	11	Oligo_229
5	12	Oligo_231
5	13	Oligo_233
5	14	Oligo_235
5	15	Oligo_237
5	16	Oligo_239
5	17	Oligo_49
5	18	Oligo_51
5	19	Oligo_53
5	20	Oligo_55
5	21	Oligo_57
5	22	Oligo_59
5	23	Oligo_241
5	24	Oligo_243
5	25	Oligo_245
5	26	Oligo_247
5	27	Oligo_249
5	28	Oligo_251
5	29	Oligo_61
5	30	Oligo_63
5	31	Oligo_65
5	32	Oligo_67
5	33	Oligo_69
5	34	Oligo_71
5	35	Oligo_253
5	36	Oligo_255
5	37	Oligo_257
5	38	Oligo_259
5	39	Oligo_261
5	40	Oligo_263
5	41	Oligo_73
5	42	Oligo_75
5	43	Oligo_77
5	44	Oligo_79
5	45	Oligo_81
5	46	Oligo_83
5	47	Oligo_265
5	48	Oligo_267
5	49	Oligo_269
5	50	Oligo_271
5	51	Oligo_273
5	52	Oligo_275
5	53	Oligo_85
5	54	Oligo_87
5	55	Oligo_89
5	56	Oligo_91
6	1	Oligo_93
6	2	Oligo_95
6	3	Oligo_277
6	4	Oligo_279
6	5	Oligo_281
6	6	Oligo_283
6	7	Oligo_285
6	8	Oligo_287
6	9	Oligo_385
6	10	Oligo_387
6	11	Oligo_389
6	12	Oligo_391
6	13	Oligo_393
6	14	Oligo_395
6	15	Oligo_577
6	16	Oligo_579
6	17	Oligo_581
6	18	Oligo_583
6	19	Oligo_585
6	20	Oligo_587
6	21	Oligo_397
6	22	Oligo_399
6	23	Oligo_401
6	24	Oligo_403
6	25	Oligo_405
6	26	Oligo_407
6	27	Oligo_589
6	28	Oligo_591
6	29	Oligo_593
6	30	Oligo_595
6	31	Oligo_597
6	32	Oligo_599
6	33	Oligo_409
6	34	Oligo_411
6	35	Oligo_413
6	36	Oligo_415
6	37	Oligo_417
6	38	Oligo_419
6	39	Oligo_601
6	40	Oligo_603
6	41	Oligo_605
6	42	Oligo_607
6	43	Oligo_609
6	44	Oligo_611
6	45	Oligo_421
6	46	Oligo_423
6	47	Oligo_425
6	48	Oligo_427
6	49	Oligo_429
6	50	Oligo_431
6	51	Oligo_613
6	52	Oligo_615
6	53	Oligo_617
6	54	Oligo_619
6	55	Oligo_621
6	56	Oligo_623
7	1	Oligo_433
7	2	Oligo_435
7	3	Oligo_437
7	4	Oligo_439
7	5	Oligo_441
7	6	Oligo_443
7	7	Oligo_625
7	8	Oligo_627
7	9	Oligo_629
7	10	Oligo_631
7	11	Oligo_633
7	12	Oligo_635
7	13	Oligo_445
7	14	Oligo_447
7	15	Oligo_449
7	16	Oligo_451
7	17	Oligo_453
7	18	Oligo_455
7	19	Oligo_637
7	20	Oligo_639
7	21	Oligo_641
7	22	Oligo_643
7	23	Oligo_645
7	24	Oligo_647
7	25	Oligo_457
7	26	Oligo_459
7	27	Oligo_461
7	28	Oligo_463
7	29	Oligo_465
7	30	Oligo_467
7	31	Oligo_649
7	32	Oligo_651
7	33	Oligo_653
7	34	Oligo_655
7	35	Oligo_657
7	36	Oligo_659
7	37	Oligo_469
7	38	Oligo_471
7	39	Oligo_473
7	40	Oligo_475
7	41	Oligo_477
7	42	Oligo_479
7	43	Oligo_661
7	44	Oligo_663
7	45	Oligo_665
7	46	Oligo_667
7	47	Oligo_669
7	48	Oligo_671
7	49	Oligo_0
7	50	Oligo_0
7	51	Oligo_0
7	52	Oligo_0
7	53	Oligo_0
7	54	Oligo_0
7	55	Oligo_0
7	56	Oligo_0
8	1	Oligo_97
8	2	Oligo_99
8	3	Oligo_101
8	4	Oligo_103
8	5	Oligo_105
8	6	Oligo_107
8	7	Oligo_289
8	8	Oligo_291
8	9	Oligo_293
8	10	Oligo_295
8	11	Oligo_297
8	12	Oligo_299
8	13	Oligo_109
8	14	Oligo_111
8	15	Oligo_113
8	16	Oligo_115
8	17	Oligo_117
8	18	Oligo_119
8	19	Oligo_301
8	20	Oligo_303
8	21	Oligo_305
8	22	Oligo_307
8	23	Oligo_309
8	24	Oligo_311
8	25	Oligo_121
8	26	Oligo_123
8	27	Oligo_125
8	28	Oligo_127
8	29	Oligo_129
8	30	Oligo_131
8	31	Oligo_313
8	32	Oligo_315
8	33	Oligo_317
8	34	Oligo_319
8	35	Oligo_321
8	36	Oligo_323
8	37	Oligo_133
8	38	Oligo_135
8	39	Oligo_137
8	40	Oligo_139
8	41	Oligo_141
8	42	Oligo_143
8	43	Oligo_325
8	44	Oligo_327
8	45	Oligo_329
8	46	Oligo_331
8	47	Oligo_333
8	48	Oligo_335
8	49	Oligo_145
8	50	Oligo_147
8	51	Oligo_149
8	52	Oligo_151
8	53	Oligo_153
8	54	Oligo_155
8	55	Oligo_337
8	56	Oligo_339
9	1	Oligo_341
9	2	Oligo_343
9	3	Oligo_345
9	4	Oligo_347
9	5	Oligo_157
9	6	Oligo_159
9	7	Oligo_161
9	8	Oligo_163
9	9	Oligo_165
9	10	Oligo_167
9	11	Oligo_349
9	12	Oligo_351
9	13	Oligo_353
9	14	Oligo_355
9	15	Oligo_357
9	16	Oligo_359
9	17	Oligo_169
9	18	Oligo_171
9	19	Oligo_173
9	20	Oligo_175
9	21	Oligo_177
